location 1,location 2,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,"United States, Virginia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Washington",0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, West Virginia",0.0,0.2,0.2,0.0,0.2,0.2,0.5,0.0,0.0,0.2,0.2,0.2
Brazil,"United States, Wisconsin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Wyoming",0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0
Canada,Croatia,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0
Canada,Denmark,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.5,0.5
Canada,England,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0
Canada,Finland,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.2,0.2,0.2
Canada,France,0.0,0.0,0.5,0.2,0.5,0.2,0.5,0.2,0.2,0.0,0.0,0.0
Canada,Germany,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Iceland,0.2,0.0,1.0,0.2,0.5,0.0,0.5,0.2,0.5,0.2,0.2,0.0
Canada,Ireland,0.2,0.5,0.2,0.5,1.0,0.5,0.0,0.0,0.2,0.2,0.2,0.0
Canada,Italy,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.2,0.0
Canada,Luxembourg,0.2,0.2,0.0,0.2,0.0,0.0,0.5,0.0,0.2,0.2,0.2,0.2
Canada,Netherlands,0.0,0.2,0.2,0.2,0.5,0.0,0.2,0.0,0.0,0.2,0.0,0.0
Canada,New Zealand,0.5,0.5,0.2,0.2,0.2,0.5,0.2,0.5,0.5,0.2,0.2,0.2
Canada,Northern Ireland,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.5,0.2,0.2,0.2
Canada,Norway,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.2
Canada,Poland,0.2,0.5,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.0,0.0
Canada,Scotland,0.5,0.2,0.2,0.2,0.5,0.5,0.0,0.2,0.2,0.2,0.2,0.0
Canada,Spain,0.0,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.0,0.0
Canada,Sweden,0.2,0.5,0.5,0.2,0.5,0.2,0.2,0.5,1.0,0.5,0.5,0.2
Canada,"United States, Alabama",0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2
Canada,"United States, Alaska",0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.5,0.5
Canada,"United States, Arizona",0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
